Publication Date,Fiscal Year,Agency Number,Agency Name,Unit Appropriation Number,Unit Appropriation Name,Personal Service/Other Than Personal Service Indicator,Total Financial Plan Amount,Total Adopted Budget Amount,Total Current Budget Amount,Federal Funds Financial Plan Amount,Federal Funds Adopted Budget Amount,Federal Funds Current Budget Amount,State  Funds Financial Plan Amount,State Funds Adopted Budget Amount,State Funds Current Budget Amount ,Inter-Fund Agreement Funds Financial Plan Amount,Inter-Fund Agreement Funds Adopted Budget Amount,Inter-Fund Agreement Funds Current Budget Amount ,Intra-City Sales Funds Financial Plan Amount,Intra-City Sales Funds Adopted Budget Amount,Intra-City Sales Funds Current Budget Amount ,Other Categorical Funds Financial Plan Amount,Other Categorical Funds Adopted Budget Amount,Other Categorical Funds Current Budget Amount ,Community Development Funds Financial Plan Amount ,Community Development Funds Adopted Budget Amount ,Community Development Funds Current Budget Amount ,City Funds Financial Plan Amount,City Funds Adopted Budget Amount,City Funds Current Budget Amount
20220426,2023,002,MAYORALTY,071,NYC COMM TO THE UN-OTPS,O,251281,240975,240975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251281,240975,240975
20220426,2023,002,MAYORALTY,090,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,P,23408453,17329875,16878886,0,38851,38851,0,0,0,2523576,2523576,2523576,5191224,5191224,5191224,0,0,0,0,0,0,15693653,9576224,9125235
20220426,2023,004,CAMPAIGN FINANCE BOARD,002,OTHER THAN PERSONAL SERVICES,O,35985389,19280979,17092979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35985389,19280979,17092979
20220426,2023,004,CAMPAIGN FINANCE BOARD,003,ELECTION FUNDING,O,28000000,40800000,20800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000000,40800000,20800000
20220426,2023,008,OFFICE OF THE ACTUARY,100,PERSONAL SERVICE,P,5174554,5064554,5022554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5174554,5064554,5022554
20220426,2023,008,OFFICE OF THE ACTUARY,200,OTHER THAN PERSONAL SERVICE,O,2040464,2003882,1833882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040464,2003882,1833882
20220426,2023,010,BOROUGH PRESIDENT - MANHATTAN,001,PERSONAL SERVICES,P,4384989,4384989,4585489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384989,4384989,4585489
20220426,2023,010,BOROUGH PRESIDENT - MANHATTAN,002,OTHER THAN PERSONAL SERVICES,O,956399,1340650,1412642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956399,1340650,1412642
20220426,2023,011,BOROUGH PRESIDENT BRONX,001,PERSONAL SERVICES,P,5086723,5086723,5093894,0,0,6171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086723,5086723,5087723
20220426,2023,011,BOROUGH PRESIDENT BRONX,002,OTHER THAN PERSONAL SERVICES,O,1255715,1773735,2099654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255715,1773735,2099654
20220426,2023,012,BOROUGH PRESIDENT - BROOKLYN,001,PERSONAL SERVICES,P,5928718,5928718,5930718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5928718,5928718,5930718
20220426,2023,012,BOROUGH PRESIDENT - BROOKLYN,002,OTHER THAN PERSONAL SERVICES,O,1392619,2209650,2821294,0,0,0,0,0,225000,0,0,0,0,0,0,0,0,0,0,0,0,1392619,2209650,2596294
20220426,2023,013,BOROUGH PRESIDENT - QUEENS,001,PERSONAL SERVICES,P,4304633,4297111,5362977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4304633,4297111,5362977
20220426,2023,013,BOROUGH PRESIDENT - QUEENS,002,OTHER THAN PERSONAL SERVICES,O,1602365,2360392,1745146,0,0,126173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602365,2360392,1618973
20220426,2023,014,BOROUGH PRESIDENT STATEN ISLAND,001,PERSONAL SERVICES,P,3848795,3792795,3793795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3848795,3792795,3793795
20220426,2023,014,BOROUGH PRESIDENT STATEN ISLAND,002,OTHER THAN PERSONAL SERVICES,O,929740,1275067,1515790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929740,1275067,1515790
20220426,2023,015,OFFICE OF THE COMPTROLLER,001,EXECUTIVE MANAGEMENT-PS,P,3802004,3954447,3762348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802004,3954447,3762348
